subject,body,label,source
Re: central management,"Once upon a time, Brian wrote : >     I was thinkinf about an addition of another file: apt-repositories. >     Stick it on apt.freshmeat.net (the center of the apt universe, IMHO) >     and every time a new repository is added, the RPM can be rebuilt.  >     Heck, if I could get out of my depression, I could make the whole >     submission process automated....even making the RPM... Well, I already keep a list of known apt repositories on http://freshrpms.net/apt/ although I haven't added the ones that were talked about lately (actually I've been very busy over the week-end and I'm sick right now...). You could make the whole submission automated, even making the rpm? http://rpmforge.net/ needs *you*! Matthias --  Matthias Saou                                World Trade Center -------------                                Edificio Norte 4 Planta System and Network Engineer                  08039 Barcelona, Spain Electronic Group Interactive                 Phone : +34 936 00 23 23 _______________________________________________ RPM-List mailing list  http://lists.freshrpms.net/mailman/listinfo/rpm-list",0,Assassin
[PATCH] Update Log::Messge::Simple to 0.04 (was: Re: Code freeze),"Greetings,

On 22 Oct 2007, at 12:12, Rafael Garcia-Suarez wrote:
> For dual-life module maintainers :
> please check that your modules are in line with the core version. Many
> modules have changes that will need to be backported to cpan. Here's
> a list given by Porting/corecpan.pl: (it's maybe not complete)
[...]
>     Log::Message::Simple

Attached is the patch for Log::Message::Simple, which is just a  
version bump.

The core changes (just docs) have been uploaded to CPAN:

Changes for 0.04    Mon Oct 22 14:10:23 2007
============================================
* Documentation nits. Users of 0.02 are not
   required to upgrade.

--

   Jos Boumans

   How do I prove I'm not crazy to people who are?
",0,CEAS-08
Safe and fast enlargement,"Make your soldier of love serve you better with our exclusive enhancement formula
Evoke your natural male power fast and easily!
http://whitedone.com/


GPindustry is already receiving advantages because ofprayers asking God to bless the nation and guide the",1,CEAS-08
Drop 20 lbs with Weightloss Patch / Hoodia - Free Trials,"
     Two ways to help you lose weight with Free Trials.
 
 1 -- Hoodia
 
 The magic bullet"" of weightloss! The miracle from South Africa.
 
 -Feel Fuller On Less Food
 -All Natural Formula
 -Boosts Energy
 -Starts Working Immediately
 -Satisfaction Gauranteed
 
 Sample orders are limited to one per household!
 
 http://allfreebiestoyouonline.com/c/Q0r2uVYOJBWjLxMKmVXFfg.html?0
 
 Opt out link: http://allfreebiestoyouonline.com/c/Q0r2uVYOJBWjLxMKmVXFfg.html?1 
 
 NutraCORE 2150 Winston Park Dr Suite 208 Oakville, ON L6H5V1
 
 
 2 -- Weightloss Patch
 
 Lose weight 24 hours per day with the Ultima Patch 
 
 - Burn Fat Safely and Easily
 - Reduce Food Cravings
 - Lose Weight and Keep it Off
 
 Get Your FREE TRIAL TODAY !
 
 http://allfreebiestoyouonline.com/c/Q0r2uVYOJBWjLxMKmVXFfg.html?2
 
 
 
 Opt Out Link: http://allfreebiestoyouonline.com/c/Q0r2uVYOJBWjLxMKmVXFfg.html?3
 
 Ultima Patch, LLC 1380 garnet ave, suite e520 San Diego, CA 92109
 Click here to no longer receive mailings
http://allfreebiestoyouonline.com/u/Q0r2uVYOJBWjLxMKmVXFfg.html
or write to us at:
All Free Stuff
5715 Will Clayton Parkway #2461
Humble, TX 77338

 

",1,TREC-07
re : replacement cost values,"the 2001 annual allocated premium for these assets for property insurance is $ 670 , 000 based upon ena ' s 2001 reported value of approximately $ 470 , 000 , 000 . the pro - rata credit for 7 months , assuming a 5 - 31 - 01 sale date , would be $ 390 , 833 .
underwriters require an update of values and exposures annually at renewal . gathering these values within enron normally requires 30 to 45 days . we use these same values in the allocation system . unless the value change is significant , the actual cost of insurance to the outside insurers will not change once you complete your entire study of replacement cost values , we can discuss whether approaching underwriters is warranted .
if we internally adjust your allocation mid - year , we must move the premium that we take away from you to the other participants in the program . as you know , the remainder of enron did not stand still while you sold bammel . we have not tried this before , however , i suspect if approached with the additional premium as a result reducing ena ' s allocation , all the other operating entities would want to re - submit their revised values as well and we would find ourselves in a constant state of adjustment . in view of the time required , this is neither practical nor cost effective for enron . in view of the relatively small numbers , i doubt that corp . would entertain this proposition either , however , we can approach them if you wish .
- - - - - original message - - - - -
from : redmond , brian
sent : tuesday , october 09 , 2001 9 : 26 am
to : clayton , paul ; coffey jr . , jim ; azore , jacquelyn
cc : whiting , greg ; gruesen , karen ; helton , susan ; koehler , anne c . ; kitchen , louise ; bouillion , james l .
subject : re : replacement cost values
paul :
please let me know how much of the 2000 insurance premium is being allocated to the approx . $ 700 mm of hpl assets . this charge is effectively "" a cost of capital "" and should be re - allocated to other groups with insured assets or should remain at corp .
regards ,
brian
- - - - - original message - - - - -
from : clayton , paul
sent : tuesday , october 09 , 2001 8 : 43 am
to : redmond , brian ; coffey jr . , jim ; azore , jacquelyn
cc : whiting , greg ; gruesen , karen ; helton , susan ; koehler , anne c . ; kitchen , louise ; bouillion , james l .
subject : re : replacement cost values
brian :
this insurance is purchased on a portfolio basis with payment to underwriters at inception of the coverage . values are adjusted annually at renewal . the premiums are allocated to the participating entities as part of the budget process and insignificant additions and deletions of assets do not normally result in premiums additions or refunds . in the event that we discontinue premiums to north america for hlp , we have no mechanism to allocate that premium to the other assets that continue to be insured . in the event of a significant divestiture , underwriters may consider a refund , however , the values discussed below would not likely be significant when compared to enron ' s values as a whole . additionally , enron ' s adverse loss experience affects the underwriters ability to return premium for small divestitures .
at renewal , 4 / 01 / 02 , north america ' s revised property values will be declared to underwriters as part of enron ' s overall values and your premium allocation will adjust depending upon your values and loss experience as compared to the rest of enron .
regards ,
paul
- - - - - original message - - - - -
from : redmond , brian
sent : monday , october 08 , 2001 5 : 31 pm
to : coffey jr . , jim ; clayton , paul ; azore , jacquelyn
cc : whiting , greg ; gruesen , karen ; helton , susan ; koehler , anne c . ; kitchen , louise
subject : re : replacement cost values
paul :
please confirm that ena will not bear any insurance costs for the hpl assets for the second half of 2001 and the balance of years going forward ? if this is not the case , then we need to meet and discuss why this is not the case .
thanks ,
brian
- - - - - original message - - - - -
from : coffey jr . , jim
sent : monday , october 08 , 2001 5 : 25 pm
to : clayton , paul ; azore , jacquelyn
cc : redmond , brian ; whiting , greg ; gruesen , karen ; helton , susan ; koehler , anne c .
subject : re : replacement cost values
paul
in addition to the 188 , 371 , 296 property value for bammel lease that you mentioned below there was also a value on your spreadsheet for bammel gas storage of 267 , 000 , 000 . requirements to insure both of these amounts should be with aep not enron and thus the 2002 plan premium allocations of $ 754 , 096 on the bammel gas storage 267 , 000 , 000 value and $ 924 , 433 on the bammel lease value of 188 , 371 , 296 should not be needed .
jackie
please remove these amounts from the ena - hpl 2002 plan .
- - - - - original message - - - - -
from : clayton , paul
sent : monday , october 08 , 2001 5 : 10 pm
to : coffey jr . , jim
subject : re : replacement cost values
jim :
as discussed for the purposes of the 2002 insurance budget , we will delete the bammel lease ( 1409 ) property values of $ 188 , 371 , 296 . we will advise the insurers effective this past june to delete these assets and will attempt to receive a refund . however , as respects asset divestitures , insurers have not been inclined in the past to refund premiums for comparatively small divestitures in view of our adverse loss experience . however , if we are successful in receiving a credit , we will refund the premium .
i will discuss with karen and brian the other remaining assets .
regards ,
- - - - - original message - - - - -
from : clayton , paul
sent : monday , october 08 , 2001 2 : 13 pm
to : coffey jr . , jim
subject : replacement cost values
jim :
please update accordingly .
thanks ,
>",0,Enron
Re: [UAI] Is it luck or is it skill - my resolution,"Rich, one other factor I would not ignore is that there is not 
statistical independence between the successes of different claimed 
investment experts, because they are all playing in the same market.  
Thus, every day-trader was a genius in the late 1990's.

--Pete Szolovits


",0,CEAS-08
new on 95 . 8 capital fm,"this is new at http : / / capitalfm . com from the 17th of feb to the 3rd of mar . - live reviews - we take you to sheryl crow , robbie williams and the corrs . - grammy awards - more pop , awards and speeches on feb 24 . - b * witched - get a preview of the book ! - winning lines - guess the song and win the brits video . - new releases - madonna , alanis and other great new music ! - showtime - e-17 , cher and martine mccutcheon on air . - how to be a dj - get tips from the top . - eddie izzard - win tickets ! * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * - live reviews - we take you to sheryl crow , robbie williams and the corrs . spring is coming and the stars are taking to the stage . we take you to sheryl crow 's only uk gig this time around , golden boy robbie is following up his amazing run at the brits with live gigs at wembley and the corrs come back to the london arena after winning best international group at the brits . - grammy awards - more pop , awards and speeches on feb 24 . it 's that time again . the us brings out all the stops and all the stars . we will keep you up to date on the winners and losers and we have some amazing cd offers on grammy nominated artists . keep coming back so you do n't miss out ! - b * witched - get a preview of the book ! the official book is not released until the middle of april , but you can find out what 's in it now ! we will publish an excerpt from the book every week starting on thursday february 18 . be the first to read it ! - winning lines - guess the song and win the brits video . our weekly ' winning lines ' competition has a great prize up for grabs this week . the official brits video can be yours if you know your lyrics . - new releases - madonna , alanis and other great new music ! as always , we keep you up to date on all the new music that is coming out . some heavy weight artists such as madonna , alanis , steps , eagle eye cherry and cleopatra weigh in with new songs . - showtime - e-17 , cher and martine mccutcheon on air . who will be on showtime next ? coming up we have e-17 , cher , martine mccutcheon , jerry springer and kathy burke . showtime on air runs from monday till friday 7 . 30 - 8pm on 95 . 8 capital fm , showtime on-line is available 24 hours a day . tune in , log on or miss out . - how to be a dj - get tips from the top . our superstar djs give you tips on how to join their ranks at the top . this week chris tarrant gives you the inside scoop and on march 1 our very own dr . fox spills the beans . not to be missed if you want to get into radio . - eddie izzard - win tickets to his london show ' dressed to kill ' . watch the site next week for your chance to a free laugh . all this and much , much more at http : / / capitalfm . com * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * do n't want to receive these e-mails ? click the following link to remove your address from our mailing list : http : / / capitalfm . com / unsubscribe * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * advertisement the best brewed beverage ! it 's different . . . it 's delicious and it could be yours - free ! because it 's non-alcoholic brewed beverage made from pure fruit and barley with a fresh new taste . so , click below an win a case now or phone the hotline to have bbsoda delivered directly to your door . http : / / capitalfm . com / bbsoda / * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * advertisement on the piste ? fresh snow , packed powder or no snow at all ? find out by checking out the ski reports now ! with 180 resorts updated up to 3 times a day , you can always keep up to date with the ideal snow conditions . do n't take-off without taking it in ! http : / / capitalfm . com / cgi-bin 3 / webobjects / skiweather * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * advertisement do you think you can beat the music maestros that won in our last fantasy record label game ? here 's your chance to prove it and reap the rewards . our top twixter will walk away with an elonex webrider pc , so play the twix ' buddy up with the beat ' . hurry up , the sooner you start , the better your chances are of winning . http : / / www . fantasyrecordlabel . com
",1,Ling
Urgent attention pls.,"
FROM WILLIAM MENSAH, MY SINCERE COMPENSATION TO YOU

Dear Colleague,

On a very happy note and bearing in mind the staunch commitment that
you had put into the quest to see that the fund was moved to you for
claim as we had arranged but to no avail, I write to inform you that at
last,the business had been a SUCCESS.

Since all our effort in conjunction with yours were met with various
failures and disappointments after the other, there was an influential
party from Britain that was approached on our behalf by a Finance &
Management Supports Initiatives(a consulting firm); and with her
(influential party) imputes, the Fund was paid out and I have collected
my own share.

Presently, I am in LONDON where, in partnership with a core investor in
the Mining Sector of their economy, we are investing in the
industry.But, I am not oblivious of the fact that you did your best in
that context, although, it seem that element of doubt crept in. You 
were not to blame, as there were many circumstances that would reflect such scepticism to any reasonable being.For your sincere but unfruitful 
sacrifices, I pressurized the influential woman to concede some amount 
as COMPENSATION to you, for the resource that you imp lunged even the time and inconveniences.

The sum of USD 850,o00,00(Eight hundred and fifty thousand united
states dollars) was what she agreed to as your compensation value, and
the sum was made in draft but, because of my appointment in Ecuador and
too, I could not get through to you since your number at any time indicated ""not in use"", I then handed it over to the Secretary of the Finance & Management Supports Initiatives, the consulting firm. Her name is MRS ROSE BROWN,EMAIL:rosedeskz1@yahoo.co.uk

The Secretary is very much informed by me about you and I instructed
her to hand over the Draft to you as soon as you contact her. I gave
her the CODE 707, which you have to mention for identification.Note
that at times I will be in the site and the Internet does not work 
there. Onlywhen I am in the city.

Yours Sincerely,
Williams Mensah.

",1,TREC-07
Looking for special gift. Buy Rolex    ya2no8,"Dear qtu@plg.uwaterloo.ca

http://polioouo.com

What is Exquisite Replica store?

At Exquisite Replica, we specialize in the sales of brand-name quality,
luxury replicas at some of the lowest prices possible. With our large selection of
products, you can be sure to find that perfect gift for yourself or a loved one.

You can buy:

    * Rolex Watches
    * Cartier Watches
    * Breitling Watches
    * Bvlgari Watches
    * Omega Watches
    * Tag Heuer Watches
    * Officine Panerai Watches
    * A.Lange & Sohne Watches
    * Franck Muller Watches
    * Chopard Watches
    * Hermes Watches
    * Jacob & Co. Watches

Get 25% off when buying 2 watches!

Visit Exquisite Replica Shop!

http://polioouo.com

Thanks
Cathy Anniston


qtu@plg.uwaterloo.ca wrote:
> Looking for gift? Buy Rolex!
z4jf841piq-

",1,TREC-07
How to determine content type of a variable,"

Is there a way to determine whether a variable is a pointer to a hash,
pointer to an array, or just a number/string?

TIA.

- Bryan




-- 
To unsubscribe, e-mail: beginners-unsubscribe@perl.org
For additional commands, e-mail: beginners-help@perl.org
http://learn.perl.org/


",0,TREC-07
re : ecp / linden swaps,"yes , joe said he would make the call .
- - - - - original message - - - - -
from : kitchen , louise
sent : friday , october 12 , 2001 10 : 38 am
to : deffner , joseph ; duran , w . david ; colwell , wes
subject : re : ecp / linden swaps
dave
are you unwinding it ?
- - - - - original message - - - - -
from : deffner , joseph
sent : thursday , october 11 , 2001 4 : 08 pm
to : kitchen , louise ; duran , w . david ; colwell , wes
subject : ecp / linden swaps
here ' s my understanding of what has happened with the interest rate swaps :
as i indicated earlier , the original $ 32 mm was put on for the linden 6 expansion which never occurred .
the second swap of $ 350 mm was put on to protect the value of the cash flow from el paso assuming we would monetize the asset shortly . this hedge does appear to have been set with the el paso payment stream in mind .
the original $ 32 mm of swaps did not provide a clean hedge to the remaining el paso cash flows as they were 10 year bullets while the el paso payment stream is a 7 year monthly amortizer .
however , the $ 382 mm of hedges did approximate notionally the asset to be hedged .
it appears that given the assumption the swaps were to have been monetized in a short period of time , a decision may have been made that unwinding and rewinding the "" dirty "" interest rate hedge was more expensive than wearing the basis risk for a brief time .
given that the monetization never occurred , it does appear to me that the $ 32 mm hedge is ineffective and should be removed or replaced if we determine that we should hedge the rate risk associated with the note .
anyone have anything additional to add ? that ' s the best i could turn up looking back after the fact given the many personnel departures .",0,Enron
re : fw : re : valuation,". . . . see you there . . .
steve
- - - - - original message - - - - -
from : kaminski , vince
sent : tuesday , january 23 , 2001 5 : 28 pm
to : stock , stephen
subject : re : fw : re : valuation
steve ,
around 6 : 00 p . m .
vince
from : stephen stock / enron @ enronxgate on 01 / 23 / 2001 05 : 26 pm
to : vince j kaminski / hou / ect @ ect
cc :
subject : fw : re : valuation
vince ,
i ' m in all this week . . . . . what time are you going for the bus tonight ?
regards
steve
- - - - - original message - - - - -
from : stevestock @ pagenetips . com @ enron
sent : tuesday , january 23 , 2001 4 : 42 pm
to : stock , stephen
subject : fwd : re : valuation
- - - - - -
from : vince kaminski
subject : re : valuation
steve ,
please , let me know when you come back .
i have detected a tendency to implement different
approaches to valuation in the past .
to some extent , it reflects the absence of formal
rules for sign - off on the valuation techniques
which , in turn , reflects , the turf wars and the desire by the
originators to control the outcomes .
vince
stevestock @ pagenetips . com on 01 / 19 / 2001 06 : 53 : 14 pm
to : vince . j . kaminski @ enron . com
cc :
subject : valuation
vince ,
i ' d like an opportunity to talk to you about valuation .
i ' m hearing confusing messages about the way that the uk it team and the uk
traders get their valuation code aparently signed off by research , while
here . . . you provide it for our guys to wrap up .
we have now a situation where the uk team are using a home grown valuation
piece called dove , where results differ from those of the equivalent usa
portcalc .
i need to break through the pride barriers and the "" not built here ""
syndrome , and try to do the right thing , but i don ' t beleive i can do that
without you guidance .
i ' m scared that if we diverge too much we will never work globally on these
systems .
steve
- - - - - - - - - - - - - - - - - - - - - - - -
tel : 713 - 345 - 8980
cell : 281 - 541 - 1862
page : stevestock @ pagenetips . com
steve
- - - - - - - - - - - - - - - - - - - - - - - -
tel : 713 - 345 - 8980
cell : 281 - 541 - 1862
page : stevestock @ pagenetips . com",0,Enron
Direct message from SpamExperts via web,"Monitor email test (>1000) mt_se_xen2: ON
1022

SpamExperts / spamexperts

--
follow me at http://twitter.com/spamexperts
reply on the web at http://twitter.com/direct_messages/create/spamexperts
send me a direct message from your phone or IM: D SPAMEXPERTS your message here.
turn off these email notifications at: http://twitter.com/account/notifications


",0,CEAS-08
Enjoy your life now!,"Best Prices on the net,
Free Shipping TOP FDA-Onl jtr ine Phar qax macy Approved.
Information on medications help you find what you need.
Trusted and Secured And Hottest Offers.
We carry all prescription and non prescription medication.
What are the Prem ovm ier P di harmacy benefits ?
 - Excellent pricing
 - No embarrassment - prescriptions are always confidential 
 - No waiting rooms to increase your chances of getting sick
 - All medications are FDA approved
 - No appointments - order prescriptions anytime, anywhere
 - Ordering is easy at our on ssu line pha yii rmacy service!
You can compare our prices here
We offer fast and discrete shipping & our staff is at you service 24X7.

Voted best onli kp ne ph zus armacy for 2003-2007

Mon, 2 Jul 2007 17:00:47 +0000 M1KZ4T1


",1,TREC-07
Re: decode function equal to Java's,"2007/5/14, Chas Owens :

> #!/usr/bin/perl
> use strict;
> use warnings;
>
> use strict;
> use Encode;
> use URI::Escape;
> my $str = 'Perl%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%28%EF%BF%BD%EF%BF%BD%EF%BF%BD%C4%B0%EF%BF%BD%29.pdf';
>
> my $tr = encode(""utf8"",decode(""gb2312"",uri_unescape($str)));
> print ""$tr\\n"";
>

Sorry Chas this would work still.
Anyway thanks.I'll try other ways.

-- 
To unsubscribe, e-mail: beginners-unsubscribe@perl.org
For additional commands, e-mail: beginners-help@perl.org
http://learn.perl.org/


",0,TREC-07
CNN Alerts: My Custom Alert,"

CNN Alerts: My Custom Alert






 



Alert Name: My Custom Alert
I promise to love you forever and never let go

Fri, 8 Aug 2008 11:45:14 +0100

FULL STORY



You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings.
To manage your settings click here.
To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts, click here.


Cable News Network. One CNN Center, Atlanta, Georgia 30303
© 2008 Cable News Network.
A Time Warner Company
All Rights Reserved.
View our privacy policy and terms.






",1,CEAS-08
Re: What should file test operators return?,"In article <461F4D87.3010001@casella.verplant.org>, Moritz Lenz  wrote: > brian d foy wrote: > > At the moment the file test operators that I expect to return true or > > false do, but the true is the filename. > that helps chaining of file test: >  > $fn ~~ :t ~~ :x > or something. That's fine, but the example in S16 shows that as a junction:    $fh ~~ :t & :x I don't mind the answer being whatever it is as long as it's really the answer that I can tell newbies and point to in the docs. :)",0,TREC-07
Re: [opensuse] Extensive disk i/o at startup (10.3)(rephrased posting),"Verner Kjærsgaard wrote:
> Torsdag den 21. Februar 2008 skrev David C. Rankin:
>> Verner Kjærsgaard wrote:
>>> Fredag den 15. Februar 2008 skrev Verner Kjærsgaard:
> ...
> lots of stuff cut away...
> ...
> 
> Hi,
> Yes, Thunderbird.
> Tried that a long time ago, perhaps it's time again.
> If I install TB from with YaST, I'll get the correct one, latest and greatest, 
> I suppose. 
> One question, though...I've got lots of filters, lots of accounts that Kmail 
> is collecting mail from. Will they (both or just the accounts) import into 
> TB?
> 
> 

	You will get the latest with a Yast install and yes TB can import mail, 
accounts and settings. I am fairly sure that settings includes filters. 
I haven't tried though. Also with TB ""lightning"" add-on you get full 
calendar support for your remote calendars as well. I have been using TB 
for about a year now after switching from kmail. No regrets.

-- 
David C. Rankin, J.D., P.E.
Rankin Law Firm, PLLC
510 Ochiltree Street
Nacogdoches, Texas 75961
Telephone: (936) 715-9333
Facsimile: (936) 715-9339
www.rankinlawfirm.com


",0,CEAS-08
your own desk top investigator,"astounding new software lets you find
out almost anything about anyone . . .
download it right now ( no charge card needed ) :
click here :
http : / / lv 508 p . sg . st
discover everything you ever wanted to know about :
your friends
your family
your enemies
your employees
yourself - is someone using your identity ?
even your boss !
did you know you can search for anyone , anytime ,
anywhere , right on the internet ?
download this software right now - - click here :
http : / / lv 508 p . sg . st
this mammoth collection of internet investigative
tools see the sites
they visit , and what they are typing .
- explore secret web sites that conventional
search engines have never found .
click here :
http : / / lv 508 p . sg . st
= = > discover little - known ways to make untraceable
phone calls .
= = > check adoption records ; locate missing children
or relatives .
= = > dig up information on your friends , neighbors ,
or boss !
= = > discover employment opportunities from around
the world !
= = > locate transcripts and court orders from all
50 states .
= = > cloak your email so your true address can ' t
be discovered .
= = > find out how much alimony your neighbor is paying .
= = > discover how to check your phones for wiretaps .
= = > or check yourself out , and you will be shocked at
what you find ! !
these are only a few things you can do , there
is no limit to the power of this software ! !
to download this software , and have it in less
than 5 minutes click on the url below to visit
our website ( new : no charge card needed ! )
http : / / lv 508 p . sg . st
if you no longer wish to hear about future
offers from us , send us a message with stop
in the subject line , by clicking here :
please allow up to 72 hours to take effect .
please do not include any correspondence in your
message to this automatic stop robot - - it will
not be read . all requests processed automatically .
[ : } h & * tgobk 5 nkiys 5 ]",1,Enron
Re: [R] Plots from categorial data,"On 7/1/07, Jim Lemon  wrote: > Christoph Krammer wrote: > > Hello everybody, > > > > Since my first message was caught by the spam filter, I just try to do it > > again: > > > > I want to use R to generate plots from categorial data. The data contains > > results from OCR scans over images with are preprocessed by different > image > > filtering techniques. A small sample data set looks as following: > > > > > >>data <- read.csv(""d:/tmp_da/sql_data/filter_d_tool.csv"", header=T) > >>data > > > >       ocrtool filter_setting avg.hit. > > 1  FineReader            2x1    0.383 > > 2  FineReader            2x2    0.488 > > 3  FineReader            3x2    0.268 > > 4  FineReader            3x3    0.198 > > 5  FineReader            4x3    0.081 > > 6  FineReader            4x4    0.056 > > 7        gocr            2x1    0.153 > > 8        gocr            2x2    0.102 > > 9        gocr            3x2    0.047 > > 10       gocr            3x3    0.052 > > 11       gocr            4x3    0.014 > > 12       gocr            4x4    0.002 > > 13      ocrad            2x1    0.085 > > 14      ocrad            2x2    0.094 > > 15      ocrad            3x2    0.045 > > 16      ocrad            3x3    0.050 > > 17      ocrad            4x3    0.025 > > 18      ocrad            4x4    0.009 > > > > > > I now want to draw a plot with the categories (filter_setting) as X axis, > > and the avg_hit as Y axis. There should be lines for each ocrtool. > > > > But when I draw a plot, the resulting plot always contains bars, even if I > > specify type=""n"". > > > >>plot(data$filter_setting, data$avg.hit., type=""n"") > > > > > > When I only plot the categories, without data, there appear strange grey > > (but empty) boxes. > > > >>plot(data$filter_setting, type=""n"") > > > > > > Who do I get a clean white box to draw the different lines in? > > > Hi Christoph, > > How about this? > > plot(as.numeric(krammer$filter_setting[1:6]),krammer$avg_hit[1:6], >   type=""b"",col=2,ylim=c(0,0.5),main=""OCR performance"", >   xlab=""Filter setting"",ylab=""Average hits"",axes=FALSE) > points(as.numeric(krammer$filter_setting[7:12]),krammer$avg_hit[7:12], >   type=""b"",col=3) > points(as.numeric(krammer$filter_setting[13:18]),krammer$avg_hit[13:18], >   type=""b"",col=4) > box() > axis(1,at=1:6,labels=c(""2x1"",""2x2"",""3x2"",""3x3"",""4x3"",""4x4"")) > axis(2) And this is mostly equivalent to with(krammer, interaction.plot(filter_setting, ocrtool, avg_hit)) or (with the original names) with(data, interaction.plot(filter_setting, ocrtool, avg.hit.)) -Deepayan ______________________________________________ R-help@stat.math.ethz.ch mailing list https://stat.ethz.ch/mailman/listinfo/r-help PLEASE do read the posting guide http://www.R-project.org/posting-guide.html and provide commented, minimal, self-contained, reproducible code.",0,TREC-07
Digital radio playlists are prohibited?!,"Anyone heard of this law before?

> Q. Can I get a playlist?
> A. We are unable to offer a playlist. The Digital Performance Right in 
> Sound Recordings Act of 1995 passed by Congress prevents us from 
> disclosing such information. The Digital Law states that if one is 
> transmitting a digital signal, song information cannot be 
> pre-announced. It is a Music Choice policy not to release a playlist of 
> upcoming or previously played songs.

Recently, MusicChoice upgraded their website with a very important 
service, as far as I'm concerned: real-time song info from their 
website. My DirecTV receiver is up on a shelf (and its display scrolls 
intermittently); and I'm surely not going to fire up my projector while 
listening to the ""radio"", so I'm quite happy that I can retrieve r/t 
song info with URLs like:

http://backstage.musicchoice.com/songid/channels/soundsoftheseasons.asp
http://backstage.musicchoice.com/songid/channels/rap.asp
http://backstage.musicchoice.com/songid/channels/opera.asp
etc...

Now, if I were a more eager hacker, I'd write up little WSDL stubs for 
these event streams (they're clearly not worried about load, since their 
own web pages specify 15 sec meta-refresh) and then feed 'em through a 
content router to alert me to cool songs. Heck, cross-reference the 
service to CDDB and... :-)

RK",0,Assassin
Prices without competition  SoftCialis - 2.69$ ,"
  Hi, dear!
  

    
      dxibnnOnly we give you four Viagra pills FREE for EVERY ORDER!aek
    
    
      usxvFresh Store Pharmacy - Professional Visa Verified Online Shop. Worldwide shipping. Next day delivery. Discreet packaging. 100% confidential. Free physicians consultation & prescription.kavjyh

    
  
   
   
  
    
      bmyhquViagra. $1.79mqd

    
    
      peymCialis. $2.69oxm

    
    
       
    
    
       pnLevitra $3.96awb
    

    
      eaXanax. $2.99hsdvvc
    
    

      ohhjbmSoma. $0.69fngaks 
    
    
tmrrih
     
        pvjqlabonmzg

          
    
    
      
        vcWWW . FreshStore  . HKbq
    
    
      hdType in browser(without spaces) and press Enteria
    
   

  
  kx akidnyngbq vmyz kwuhhz 


      
    
    

     
        WWW . FreshStore  . HK

          
    
    
      
        Type in browser(without spaces) and press Enter
    
   

  
  tyzt xqqcual osbr lqgkeo 




",1,TREC-07
Re: [SM-USERS] Slash wrongly encoded as %2F in returning path,"

Tomas Kuliavas wrote:
> Or you could set SquirrelMail $config_location_base to https site address.

Setting this variable with my rewrite rules does the job. If I use the
RedirectPermanent option for apache the browser claims for non-authenticated
contents in the page.

Jimmi
-- 
View this message in context: http://www.nabble.com/Slash-wrongly-encoded-as--2F-in-returning-path-tp15779008p15890494.html
Sent from the squirrelmail-users mailing list archive at Nabble.com.


",0,CEAS-08
profiteer,"milligan ,
online doctorxx !
up to 70 % of the best pain killers out !
and other popular meds . . valiumxanaxcialis ! !
http : / / www . % custombudda _ /
- -
insect , of the magazine .
",1,Enron
Re: [Python-Dev] PEP 8: Discourage named lambdas?,"On 2-May-08, at 11:23 PM, Scott David Daniels wrote:

> Mike Klaas wrote:
>> ... A common pattern for me is to replace an instances method with a
>> lambda to add monitoring hooks or disable certain functionality:
>>   inst.get_foo = lambda: FakeFoo()
>> This is not replacable in one line with a def (or without locals()  
>> detritius).  Assuming this is good style, it seems odd that
>>   inst.get_foo = lambda: FakeFoo()
>> is acceptible style, but
>>   get_foo = lambda: FakeFoo()
> But surely, none of these are great style, and in fact the lambda
> lures you into using it.
>
> I'd propose a far better use is:
>    inst.get_foo = FakeFoo
> or
>    get_foo = FakeFoo


Sorry, that was a bad example.  It is obviously silly if the return  
value of the function is callable.

-Mike

_______________________________________________
Python-Dev mailing list
zvllln-eum@python.org
http://mail.python.org/mailman/listinfo/python-dev
Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev%40tangomu.com


",0,CEAS-08
